# material: iron 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
1238.73 1.513297e+18
1242.07 1.514445e+18
1245.41 1.515596e+18
1248.75 1.516748e+18
1252.09 1.517903e+18
1255.43 1.519059e+18
1258.76 1.520218e+18
1262.10 1.521378e+18
1265.44 1.522541e+18
1268.78 1.523706e+18
1272.12 1.524873e+18
1275.46 1.526043e+18
1278.80 1.527214e+18
1282.14 1.528388e+18
1285.48 1.529564e+18
1288.81 1.530742e+18
1292.15 1.531923e+18
1295.49 1.533106e+18
1298.83 1.534291e+18
1302.17 1.535479e+18
1305.51 1.536669e+18
1308.85 1.537861e+18
1312.19 1.539056e+18
1315.53 1.540254e+18
1318.86 1.541453e+18
1322.20 1.542656e+18
1325.54 1.543860e+18
1328.88 1.545068e+18
1332.22 1.546277e+18
1335.56 1.547490e+18
1338.90 1.548705e+18
1342.24 1.549922e+18
1345.58 1.551142e+18
1348.91 1.552365e+18
1352.25 1.553590e+18
1355.59 1.554818e+18
1358.93 1.556049e+18
1362.27 1.557283e+18
1365.61 1.558519e+18
1368.95 1.559758e+18
1372.29 1.561057e+18
1375.63 1.562422e+18
1378.96 1.563791e+18
1382.30 1.565575e+18
1385.64 1.567546e+18
1388.98 1.569523e+18
1392.32 1.571504e+18
1395.66 1.573489e+18
1399.00 1.575480e+18
1402.34 1.577475e+18
1405.68 1.579475e+18
1409.02 1.581480e+18
1412.35 1.583490e+18
1415.69 1.585504e+18
1419.03 1.587524e+18
1422.37 1.589549e+18
1425.71 1.591578e+18
1429.05 1.593613e+18
1432.39 1.595652e+18
1435.73 1.597697e+18
1439.07 1.599747e+18
1442.40 1.601801e+18
1445.74 1.603861e+18
1449.08 1.605926e+18
1452.42 1.607997e+18
1455.76 1.610072e+18
1459.10 1.612153e+18
1462.44 1.614239e+18
1465.78 1.616330e+18
1469.12 1.618426e+18
1472.45 1.620528e+18
1475.79 1.622636e+18
1479.13 1.624748e+18
1482.47 1.626866e+18
1485.81 1.628989e+18
1489.15 1.631118e+18
1492.49 1.633253e+18
1495.83 1.635393e+18
1499.17 1.637538e+18
1502.50 1.639689e+18
1505.84 1.641845e+18
1509.18 1.644007e+18
1512.52 1.646175e+18
1515.86 1.648349e+18
1519.20 1.650528e+18
1522.54 1.652712e+18
1525.88 1.654903e+18
1529.22 1.657099e+18
1532.55 1.659301e+18
1535.89 1.661509e+18
1539.23 1.663722e+18
1542.57 1.665942e+18
1545.91 1.668167e+18
1549.25 1.670398e+18
1552.59 1.672643e+18
1555.93 1.675040e+18
1559.27 1.677444e+18
1562.60 1.679854e+18
1565.94 1.682271e+18
1569.28 1.684695e+18
1572.62 1.687126e+18
1575.96 1.689563e+18
1579.30 1.692007e+18
1582.64 1.694458e+18
1585.98 1.696916e+18
1589.32 1.699381e+18
1592.65 1.701852e+18
1595.99 1.704331e+18
1599.33 1.706816e+18
1602.67 1.709308e+18
1606.01 1.711808e+18
1609.35 1.714314e+18
1612.69 1.717206e+18
1616.03 1.720497e+18
1619.37 1.723801e+18
1622.70 1.727120e+18
1626.04 1.730452e+18
1629.38 1.733797e+18
1632.72 1.737157e+18
1636.06 1.740531e+18
1639.40 1.743920e+18
1642.74 1.747322e+18
1646.08 1.750740e+18
1649.42 1.754171e+18
1652.75 1.757618e+18
1656.09 1.761079e+18
1659.43 1.764555e+18
1662.77 1.768047e+18
1666.11 1.771553e+18
1669.45 1.775075e+18
1672.79 1.778612e+18
1676.13 1.782165e+18
1679.47 1.785734e+18
1682.80 1.789318e+18
1686.14 1.792919e+18
1689.48 1.796535e+18
1692.82 1.800168e+18
1696.16 1.803817e+18
1699.50 1.807482e+18
1702.84 1.811164e+18
1706.18 1.814863e+18
1709.52 1.818579e+18
1712.85 1.822312e+18
1716.19 1.826062e+18
1719.53 1.829830e+18
1722.87 1.833614e+18
1726.21 1.837417e+18
1729.55 1.841237e+18
