# material: cobalt 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1257.10 3.723231e+06
1260.43 3.723318e+06
1263.77 3.723403e+06
1267.11 3.723488e+06
1270.45 3.723572e+06
1273.79 3.723656e+06
1277.13 3.723739e+06
1280.47 3.723822e+06
1283.81 3.723903e+06
1287.15 3.723984e+06
1290.48 3.724065e+06
1293.82 3.724145e+06
1297.16 3.724224e+06
1300.50 3.724303e+06
1303.84 3.724381e+06
1307.18 3.724458e+06
1310.52 3.724535e+06
1313.86 3.724611e+06
1317.20 3.724687e+06
1320.53 3.724762e+06
1323.87 3.724836e+06
1327.21 3.724910e+06
1330.55 3.724984e+06
1333.89 3.725057e+06
1337.23 3.725129e+06
1340.57 3.725201e+06
1343.91 3.725272e+06
1347.25 3.725343e+06
1350.58 3.725413e+06
1353.92 3.725483e+06
1357.26 3.725552e+06
1360.60 3.725621e+06
1363.94 3.725689e+06
1367.28 3.725757e+06
1370.62 3.725824e+06
1373.96 3.725890e+06
1377.30 3.725957e+06
1380.63 3.726022e+06
1383.97 3.726088e+06
1387.31 3.726153e+06
1390.65 3.726217e+06
1393.99 3.726281e+06
1397.33 3.726344e+06
1400.67 3.726407e+06
1404.01 3.726470e+06
1407.35 3.726532e+06
1410.68 3.726593e+06
1414.02 3.726655e+06
1417.36 3.726715e+06
1420.70 3.726776e+06
1424.04 3.726836e+06
1427.38 3.726895e+06
1430.72 3.726954e+06
1434.06 3.727013e+06
1437.40 3.727071e+06
1440.73 3.727129e+06
1444.07 3.727187e+06
1447.41 3.727244e+06
1450.75 3.727300e+06
1454.09 3.727357e+06
1457.43 3.727413e+06
1460.77 3.727468e+06
1464.11 3.727523e+06
1467.45 3.727578e+06
1470.78 3.727632e+06
1474.12 3.727686e+06
1477.46 3.727740e+06
1480.80 3.727793e+06
1484.14 3.727846e+06
1487.48 3.727899e+06
1490.82 3.727951e+06
1494.16 3.728003e+06
1497.50 3.728055e+06
1500.83 3.728106e+06
1504.17 3.728157e+06
1507.51 3.728207e+06
1510.85 3.728257e+06
1514.19 3.728307e+06
1517.53 3.728357e+06
1520.87 3.728406e+06
1524.21 3.728455e+06
1527.55 3.728504e+06
1530.88 3.728552e+06
1534.22 3.728600e+06
1537.56 3.728647e+06
1540.90 3.728695e+06
1544.24 3.728742e+06
1547.58 3.728788e+06
1550.92 3.728835e+06
1554.26 3.728881e+06
1557.60 3.728927e+06
1560.93 3.728972e+06
1564.27 3.729018e+06
1567.61 3.729063e+06
1570.95 3.729107e+06
1574.29 3.729152e+06
1577.63 3.729196e+06
1580.97 3.729239e+06
1584.31 3.729283e+06
1587.65 3.729326e+06
1590.98 3.729369e+06
1594.32 3.729412e+06
1597.66 3.729454e+06
1601.00 3.729497e+06
1604.34 3.729539e+06
1607.68 3.729580e+06
1611.02 3.729622e+06
1614.36 3.729663e+06
