# material: cobalt 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
1616.03 2.092086e+18
1619.37 2.094054e+18
1622.70 2.096026e+18
1626.04 2.098003e+18
1629.38 2.099984e+18
1632.72 2.101969e+18
1636.06 2.103958e+18
1639.40 2.105952e+18
1642.74 2.107950e+18
1646.08 2.109951e+18
1649.42 2.111957e+18
1652.75 2.113967e+18
1656.09 2.115981e+18
1659.43 2.117999e+18
1662.77 2.120021e+18
1666.11 2.122047e+18
1669.45 2.124078e+18
1672.79 2.126112e+18
1676.13 2.128149e+18
1679.47 2.130191e+18
1682.80 2.132237e+18
1686.14 2.134287e+18
1689.48 2.136340e+18
1692.82 2.138397e+18
1696.16 2.140458e+18
1699.50 2.142523e+18
1702.84 2.144591e+18
1706.18 2.146664e+18
1709.52 2.148740e+18
1712.85 2.150819e+18
1716.19 2.152902e+18
1719.53 2.154989e+18
1722.87 2.157080e+18
1726.21 2.159174e+18
1729.55 2.161272e+18
1732.89 2.163373e+18
1736.23 2.165478e+18
1739.57 2.167586e+18
1742.90 2.169698e+18
1746.24 2.171813e+18
1749.58 2.173932e+18
1752.92 2.176054e+18
1756.26 2.178179e+18
1759.60 2.180308e+18
1762.94 2.182440e+18
1766.28 2.184575e+18
1769.62 2.186714e+18
1772.95 2.188856e+18
1776.29 2.191002e+18
1779.63 2.193150e+18
1782.97 2.195302e+18
1786.31 2.197457e+18
1789.65 2.199615e+18
1792.99 2.201776e+18
1796.33 2.203940e+18
1799.67 2.206107e+18
1803.01 2.208276e+18
1806.34 2.210448e+18
1809.68 2.212623e+18
1813.02 2.214801e+18
1816.36 2.216982e+18
1819.70 2.219166e+18
1823.04 2.221353e+18
1826.38 2.223543e+18
1829.72 2.225736e+18
1833.06 2.227932e+18
1836.39 2.230130e+18
1839.73 2.232332e+18
1843.07 2.234536e+18
1846.41 2.236743e+18
1849.75 2.238952e+18
1853.09 2.241164e+18
1856.43 2.243379e+18
1859.77 2.245597e+18
1863.11 2.247818e+18
1866.44 2.250041e+18
1869.78 2.252266e+18
1873.12 2.254494e+18
1876.46 2.256725e+18
1879.80 2.258958e+18
1883.14 2.261194e+18
1886.48 2.263433e+18
1889.82 2.265674e+18
1893.16 2.267917e+18
1896.49 2.270163e+18
1899.83 2.272403e+18
1903.17 2.274573e+18
1906.51 2.276746e+18
1909.85 2.278921e+18
1913.19 2.281098e+18
1916.53 2.283277e+18
1919.87 2.285458e+18
1923.21 2.287642e+18
1926.54 2.289827e+18
1929.88 2.292015e+18
1933.22 2.294204e+18
1936.56 2.296396e+18
1939.90 2.298590e+18
1943.24 2.300786e+18
1946.58 2.302983e+18
1949.92 2.305183e+18
1953.26 2.307385e+18
1956.59 2.309588e+18
1959.93 2.311794e+18
1963.27 2.314001e+18
1966.61 2.316210e+18
1969.95 2.318421e+18
1973.29 2.320634e+18
1976.63 2.322849e+18
1979.97 2.325065e+18
1983.31 2.327283e+18
1986.64 2.329503e+18
1989.98 2.331725e+18
1993.32 2.333948e+18
1996.66 2.336173e+18
2000.00 2.338402e+18
