# material: iron 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1120.20 3.492945e+06
1123.54 3.493090e+06
1126.88 3.493233e+06
1130.22 3.493375e+06
1133.56 3.493515e+06
1136.89 3.493655e+06
1140.23 3.493793e+06
1143.57 3.493930e+06
1146.91 3.494066e+06
1150.25 3.494200e+06
1153.59 3.494334e+06
1156.93 3.494466e+06
1160.27 3.494598e+06
1163.61 3.494728e+06
1166.94 3.494857e+06
1170.28 3.494985e+06
1173.62 3.495111e+06
1176.96 3.495237e+06
1180.30 3.495362e+06
1183.64 3.495485e+06
1186.98 3.495608e+06
1190.32 3.495730e+06
1193.66 3.495850e+06
1196.99 3.495970e+06
1200.33 3.496088e+06
1203.67 3.496206e+06
1207.01 3.496322e+06
1210.35 3.496438e+06
1213.69 3.496553e+06
1217.03 3.496667e+06
1220.37 3.496779e+06
1223.71 3.496891e+06
1227.05 3.497002e+06
1230.38 3.497113e+06
1233.72 3.497222e+06
1237.06 3.497330e+06
1240.40 3.497438e+06
1243.74 3.497544e+06
1247.08 3.497650e+06
1250.42 3.497755e+06
1253.76 3.497859e+06
1257.10 3.497962e+06
1260.43 3.498065e+06
1263.77 3.498167e+06
1267.11 3.498267e+06
1270.45 3.498367e+06
1273.79 3.498467e+06
1277.13 3.498565e+06
1280.47 3.498663e+06
1283.81 3.498760e+06
1287.15 3.498856e+06
1290.48 3.498952e+06
1293.82 3.499047e+06
1297.16 3.499141e+06
1300.50 3.499234e+06
1303.84 3.499326e+06
1307.18 3.499418e+06
1310.52 3.499510e+06
1313.86 3.499600e+06
1317.20 3.499690e+06
1320.53 3.499779e+06
1323.87 3.499868e+06
1327.21 3.499955e+06
1330.55 3.500043e+06
1333.89 3.500129e+06
1337.23 3.500215e+06
1340.57 3.500300e+06
1343.91 3.500385e+06
1347.25 3.500469e+06
1350.58 3.500552e+06
1353.92 3.500635e+06
1357.26 3.500717e+06
1360.60 3.500798e+06
1363.94 3.500879e+06
1367.28 3.500960e+06
1370.62 3.501040e+06
1373.96 3.501119e+06
1377.30 3.501197e+06
1380.63 3.501275e+06
1383.97 3.501353e+06
1387.31 3.501430e+06
1390.65 3.501506e+06
1393.99 3.501582e+06
1397.33 3.501657e+06
1400.67 3.501732e+06
1404.01 3.501806e+06
1407.35 3.501880e+06
1410.68 3.501953e+06
1414.02 3.502026e+06
1417.36 3.502098e+06
1420.70 3.502170e+06
1424.04 3.502241e+06
1427.38 3.502311e+06
1430.72 3.502382e+06
1434.06 3.502451e+06
1437.40 3.502520e+06
1440.73 3.502589e+06
1444.07 3.502657e+06
1447.41 3.502725e+06
1450.75 3.502792e+06
1454.09 3.502859e+06
1457.43 3.502926e+06
1460.77 3.502992e+06
1464.11 3.503057e+06
1467.45 3.503122e+06
1470.78 3.503187e+06
1474.12 3.503251e+06
1477.46 3.503315e+06
1480.80 3.503378e+06
1484.14 3.503441e+06
1487.48 3.503503e+06
1490.82 3.503565e+06
1494.16 3.503627e+06
1497.50 3.503688e+06
1500.83 3.503749e+06
1504.17 3.503809e+06
1507.51 3.503869e+06
1510.85 3.503929e+06
1514.19 3.503988e+06
1517.53 3.504047e+06
1520.87 3.504105e+06
1524.21 3.504163e+06
1527.55 3.504221e+06
1530.88 3.504278e+06
1534.22 3.504335e+06
1537.56 3.504392e+06
1540.90 3.504448e+06
1544.24 3.504504e+06
1547.58 3.504559e+06
1550.92 3.504614e+06
1554.26 3.504669e+06
1557.60 3.504724e+06
1560.93 3.504778e+06
1564.27 3.504831e+06
1567.61 3.504885e+06
1570.95 3.504938e+06
1574.29 3.504990e+06
1577.63 3.505043e+06
1580.97 3.505095e+06
1584.31 3.505147e+06
1587.65 3.505198e+06
1590.98 3.505249e+06
1594.32 3.505300e+06
1597.66 3.505350e+06
1601.00 3.505400e+06
1604.34 3.505450e+06
1607.68 3.505500e+06
1611.02 3.505549e+06
1614.36 3.505598e+06
1617.70 3.505646e+06
1621.04 3.505694e+06
1624.37 3.505742e+06
1627.71 3.505790e+06
1631.05 3.505838e+06
1634.39 3.505885e+06
1637.73 3.505931e+06
1641.07 3.505978e+06
1644.41 3.506024e+06
1647.75 3.506070e+06
1651.09 3.506116e+06
1654.42 3.506161e+06
1657.76 3.506207e+06
1661.10 3.506251e+06
1664.44 3.506296e+06
1667.78 3.506340e+06
1671.12 3.506384e+06
1674.46 3.506428e+06
1677.80 3.506472e+06
1681.14 3.506515e+06
1684.47 3.506558e+06
1687.81 3.506601e+06
1691.15 3.506643e+06
1694.49 3.506686e+06
1697.83 3.506728e+06
1701.17 3.506770e+06
1704.51 3.506811e+06
1707.85 3.506852e+06
1711.19 3.506893e+06
1714.52 3.506934e+06
1717.86 3.506975e+06
1721.20 3.507015e+06
1724.54 3.507055e+06
1727.88 3.507095e+06
1731.22 3.507135e+06
1734.56 3.507174e+06
1737.90 3.507213e+06
1741.24 3.507252e+06
1744.57 3.507291e+06
1747.91 3.507330e+06
1751.25 3.507368e+06
1754.59 3.507406e+06
1757.93 3.507444e+06
1761.27 3.507482e+06
1764.61 3.507519e+06
1767.95 3.507556e+06
1771.29 3.507593e+06
1774.62 3.507630e+06
1777.96 3.507667e+06
1781.30 3.507703e+06
1784.64 3.507739e+06
1787.98 3.507775e+06
1791.32 3.507811e+06
1794.66 3.507847e+06
1798.00 3.507882e+06
1801.34 3.507917e+06
1804.67 3.507952e+06
1808.01 3.507987e+06
1811.35 3.508022e+06
1814.69 3.508056e+06
1818.03 3.508091e+06
1821.37 3.508125e+06
1824.71 3.508158e+06
