# material: cobalt 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1307.18 5.138049e+05
1310.52 5.156821e+05
1313.86 5.177174e+05
1317.20 5.197185e+05
1320.53 5.216406e+05
1323.87 5.236037e+05
1327.21 5.255933e+05
1330.55 5.275948e+05
1333.89 5.295341e+05
1337.23 5.315316e+05
1340.57 5.336017e+05
1343.91 5.355518e+05
1347.25 5.375312e+05
1350.58 5.395253e+05
1353.92 5.415498e+05
1357.26 5.436050e+05
1360.60 5.456019e+05
1363.94 5.476305e+05
1367.28 5.496016e+05
1370.62 5.516801e+05
1373.96 5.536867e+05
1377.30 5.557575e+05
1380.63 5.577574e+05
1383.97 5.597766e+05
1387.31 5.619057e+05
1390.65 5.638463e+05
1393.99 5.660166e+05
1397.33 5.679993e+05
1400.67 5.700785e+05
1404.01 5.721204e+05
1407.35 5.741850e+05
1410.68 5.762727e+05
1414.02 5.783092e+05
1417.36 5.804599e+05
1420.70 5.824701e+05
1424.04 5.845954e+05
1427.38 5.866713e+05
1430.72 5.886828e+05
1434.06 5.909012e+05
1437.40 5.929061e+05
1440.73 5.950285e+05
1444.07 5.971479e+05
1447.41 5.992512e+05
1450.75 6.013522e+05
1454.09 6.034379e+05
1457.43 6.056127e+05
1460.77 6.076518e+05
1464.11 6.098116e+05
1467.45 6.119271e+05
1470.78 6.140582e+05
1474.12 6.161457e+05
1477.46 6.182807e+05
1480.80 6.204923e+05
1484.14 6.225111e+05
1487.48 6.247290e+05
1490.82 6.268744e+05
1494.16 6.289941e+05
1497.50 6.311482e+05
1500.83 6.333062e+05
1504.17 6.354240e+05
1507.51 6.375775e+05
1510.85 6.397671e+05
1514.19 6.419022e+05
1517.53 6.440586e+05
1520.87 6.462678e+05
1524.21 6.483924e+05
1527.55 6.505862e+05
1530.88 6.527116e+05
1534.22 6.549513e+05
1537.56 6.570635e+05
1540.90 6.592907e+05
1544.24 6.614510e+05
1547.58 6.636671e+05
1550.92 6.658169e+05
1554.26 6.679919e+05
1557.60 6.702239e+05
1560.93 6.723905e+05
1564.27 6.745835e+05
1567.61 6.767272e+05
1570.95 6.790052e+05
1574.29 6.811275e+05
1577.63 6.833847e+05
1580.97 6.855625e+05
1584.31 6.878001e+05
1587.65 6.899747e+05
1590.98 6.922540e+05
1594.32 6.943507e+05
1597.66 6.966729e+05
1601.00 6.988447e+05
1604.34 7.009990e+05
1607.68 7.032914e+05
1611.02 7.054466e+05
1614.36 7.077247e+05
1617.70 7.099262e+05
1621.04 7.121752e+05
1624.37 7.143799e+05
1627.71 7.166008e+05
1631.05 7.188700e+05
1634.39 7.210797e+05
1637.73 7.233223e+05
1641.07 7.255219e+05
1644.41 7.278151e+05
1647.75 7.299895e+05
1651.09 7.322138e+05
1654.42 7.345165e+05
1657.76 7.367010e+05
1661.10 7.390125e+05
1664.44 7.412504e+05
1667.78 7.434471e+05
1671.12 7.456951e+05
1674.46 7.479304e+05
1677.80 7.502337e+05
1681.14 7.524804e+05
1684.47 7.546546e+05
1687.81 7.569740e+05
1691.15 7.592050e+05
1694.49 7.615052e+05
1697.83 7.637335e+05
1701.17 7.659828e+05
1704.51 7.682090e+05
1707.85 7.705171e+05
1711.19 7.727259e+05
1714.52 7.750168e+05
1717.86 7.773459e+05
1721.20 7.794669e+05
1724.54 7.818565e+05
1727.88 7.840382e+05
1731.22 7.863355e+05
1734.56 7.886392e+05
1737.90 7.908284e+05
1741.24 7.931336e+05
1744.57 7.954456e+05
1747.91 7.976597e+05
1751.25 7.999577e+05
1754.59 8.022023e+05
1757.93 8.044868e+05
1761.27 8.067180e+05
1764.61 8.090665e+05
1767.95 8.112685e+05
1771.29 8.135715e+05
1774.62 8.158545e+05
1777.96 8.181289e+05
1781.30 8.203835e+05
1784.64 8.226625e+05
1787.98 8.249495e+05
1791.32 8.272612e+05
1794.66 8.294762e+05
1798.00 8.317767e+05
1801.34 8.340856e+05
1804.67 8.362980e+05
1808.01 8.386734e+05
1811.35 8.408586e+05
1814.69 8.432070e+05
1818.03 8.454426e+05
1821.37 8.476868e+05
1824.71 8.500504e+05
1828.05 8.522845e+05
1831.39 8.546049e+05
1834.72 8.568125e+05
1838.06 8.591231e+05
1841.40 8.614594e+05
1844.74 8.636662e+05
1848.08 8.659594e+05
1851.42 8.682951e+05
1854.76 8.705014e+05
1858.10 8.728886e+05
1861.44 8.750519e+05
1864.77 8.774130e+05
1868.11 8.796279e+05
1871.45 8.819799e+05
1874.79 8.842295e+05
1878.13 8.864609e+05
1881.47 8.887959e+05
1884.81 8.910621e+05
1888.15 8.933542e+05
1891.49 8.956722e+05
1894.82 8.979382e+05
1898.16 9.001521e+05
1901.50 9.024698e+05
1904.84 9.047963e+05
1908.18 9.070098e+05
1911.52 9.093270e+05
1914.86 9.115750e+05
1918.20 9.139268e+05
1921.54 9.161483e+05
1924.87 9.183954e+05
1928.21 9.207293e+05
1931.55 9.229668e+05
1934.89 9.252738e+05
1938.23 9.275283e+05
1941.57 9.298865e+05
1944.91 9.320356e+05
1948.25 9.344449e+05
1951.59 9.366449e+05
1954.92 9.389313e+05
1958.26 9.411819e+05
1961.60 9.435017e+05
1964.94 9.457245e+05
1968.28 9.480164e+05
1971.62 9.503334e+05
1974.96 9.525532e+05
1978.30 9.548245e+05
1981.64 9.571380e+05
1984.97 9.593980e+05
1988.31 9.616654e+05
1991.65 9.638964e+05
1994.99 9.661958e+05
1998.33 9.684760e+05
