# material: iron 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1731.22 5.669200e+05
1734.56 5.683908e+05
1737.90 5.698587e+05
1741.24 5.714139e+05
1744.57 5.728215e+05
1747.91 5.744065e+05
1751.25 5.758439e+05
1754.59 5.773871e+05
1757.93 5.788902e+05
1761.27 5.803546e+05
1764.61 5.818703e+05
1767.95 5.834187e+05
1771.29 5.848915e+05
1774.62 5.864339e+05
1777.96 5.879189e+05
1781.30 5.894727e+05
1784.64 5.910235e+05
1787.98 5.924812e+05
1791.32 5.940258e+05
1794.66 5.955493e+05
1798.00 5.971237e+05
1801.34 5.986049e+05
1804.67 6.001912e+05
1808.01 6.017560e+05
1811.35 6.032460e+05
1814.69 6.047867e+05
1818.03 6.063065e+05
1821.37 6.079130e+05
1824.71 6.094440e+05
1828.05 6.109728e+05
1831.39 6.125697e+05
1834.72 6.141095e+05
1838.06 6.156287e+05
1841.40 6.172881e+05
1844.74 6.188007e+05
1848.08 6.203101e+05
1851.42 6.219422e+05
1854.76 6.235175e+05
1858.10 6.250894e+05
1861.44 6.266580e+05
1864.77 6.281697e+05
1868.11 6.298576e+05
1871.45 6.313456e+05
1874.79 6.330097e+05
1878.13 6.345975e+05
1881.47 6.361480e+05
1884.81 6.377119e+05
1888.15 6.393453e+05
1891.49 6.409219e+05
1894.82 6.425483e+05
1898.16 6.441179e+05
1901.50 6.457204e+05
1904.84 6.473194e+05
1908.18 6.489514e+05
1911.52 6.505797e+05
1914.86 6.521513e+05
1918.20 6.537559e+05
1921.54 6.554465e+05
1924.87 6.569907e+05
1928.21 6.585842e+05
1931.55 6.602840e+05
1934.89 6.618538e+05
1938.23 6.635093e+05
1941.57 6.651449e+05
1944.91 6.666870e+05
1948.25 6.684414e+05
1951.59 6.700126e+05
1954.92 6.716167e+05
1958.26 6.733065e+05
1961.60 6.749396e+05
1964.94 6.765529e+05
1968.28 6.782676e+05
1971.62 6.798203e+05
1974.96 6.815267e+05
1978.30 6.831452e+05
1981.64 6.848121e+05
1984.97 6.864750e+05
1988.31 6.880811e+05
1991.65 6.898096e+05
1994.99 6.914072e+05
1998.33 6.931118e+05
