# material: nickel 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
1417.36 6.346411e+05
1420.70 6.356334e+05
1424.04 6.367042e+05
1427.38 6.377328e+05
1430.72 6.388254e+05
1434.06 6.398222e+05
1437.40 6.408898e+05
1440.73 6.419144e+05
1444.07 6.430024e+05
1447.41 6.439940e+05
1450.75 6.450627e+05
1454.09 6.460668e+05
1457.43 6.471616e+05
1460.77 6.481384e+05
1464.11 6.492588e+05
1467.45 6.502007e+05
1470.78 6.513390e+05
1474.12 6.523125e+05
1477.46 6.533479e+05
1480.80 6.544056e+05
1484.14 6.554115e+05
1487.48 6.564927e+05
1490.82 6.575218e+05
1494.16 6.585587e+05
1497.50 6.595434e+05
1500.83 6.606166e+05
1504.17 6.616232e+05
1507.51 6.627042e+05
1510.85 6.636793e+05
1514.19 6.647744e+05
1517.53 6.657774e+05
1520.87 6.667802e+05
1524.21 6.678496e+05
1527.55 6.688655e+05
1530.88 6.699018e+05
1534.22 6.708844e+05
1537.56 6.719930e+05
1540.90 6.729948e+05
1544.24 6.740024e+05
1547.58 6.750087e+05
1550.92 6.761016e+05
1554.26 6.770732e+05
1557.60 6.781769e+05
1560.93 6.791592e+05
1564.27 6.801606e+05
1567.61 6.812270e+05
1570.95 6.822384e+05
1574.29 6.832546e+05
1577.63 6.842895e+05
1580.97 6.853220e+05
1584.31 6.863589e+05
1587.65 6.873545e+05
1590.98 6.884070e+05
1594.32 6.894040e+05
1597.66 6.904787e+05
1601.00 6.914379e+05
1604.34 6.925134e+05
1607.68 6.935469e+05
1611.02 6.945173e+05
1614.36 6.955580e+05
1617.70 6.966091e+05
1621.04 6.976564e+05
1624.37 6.986544e+05
1627.71 6.996624e+05
1631.05 7.006665e+05
1634.39 7.017402e+05
1637.73 7.027641e+05
1641.07 7.037837e+05
1644.41 7.048130e+05
1647.75 7.057852e+05
1651.09 7.068265e+05
1654.42 7.078702e+05
1657.76 7.089231e+05
1661.10 7.099117e+05
1664.44 7.109619e+05
1667.78 7.119686e+05
1671.12 7.129772e+05
1674.46 7.140402e+05
1677.80 7.150524e+05
1681.14 7.160733e+05
1684.47 7.170958e+05
1687.81 7.181128e+05
1691.15 7.191452e+05
1694.49 7.201720e+05
1697.83 7.211476e+05
1701.17 7.222502e+05
1704.51 7.232210e+05
1707.85 7.242733e+05
1711.19 7.253125e+05
1714.52 7.263072e+05
1717.86 7.273550e+05
1721.20 7.283582e+05
1724.54 7.294073e+05
1727.88 7.304047e+05
1731.22 7.314759e+05
1734.56 7.324741e+05
1737.90 7.334796e+05
1741.24 7.345517e+05
1744.57 7.355647e+05
1747.91 7.365708e+05
1751.25 7.375910e+05
1754.59 7.386633e+05
1757.93 7.396833e+05
1761.27 7.407031e+05
1764.61 7.417226e+05
1767.95 7.427418e+05
1771.29 7.437747e+05
1774.62 7.447931e+05
1777.96 7.458841e+05
1781.30 7.468492e+05
1784.64 7.478798e+05
1787.98 7.489688e+05
1791.32 7.499388e+05
1794.66 7.510261e+05
1798.00 7.520013e+05
1801.34 7.530417e+05
1804.67 7.540669e+05
1808.01 7.551640e+05
1811.35 7.561349e+05
1814.69 7.571777e+05
1818.03 7.582050e+05
1821.37 7.592451e+05
1824.71 7.602766e+05
1828.05 7.613208e+05
1831.39 7.623492e+05
1834.72 7.633902e+05
1838.06 7.644224e+05
1841.40 7.654599e+05
1844.74 7.664956e+05
1848.08 7.675295e+05
1851.42 7.685684e+05
1854.76 7.695984e+05
1858.10 7.705745e+05
1861.44 7.717321e+05
1864.77 7.726968e+05
1868.11 7.737394e+05
1871.45 7.747656e+05
1874.79 7.758553e+05
1878.13 7.768251e+05
1881.47 7.779170e+05
1884.81 7.789477e+05
1888.15 7.799758e+05
1891.49 7.810013e+05
1894.82 7.820828e+05
1898.16 7.831100e+05
1901.50 7.841344e+05
1904.84 7.852076e+05
1908.18 7.862404e+05
1911.52 7.872491e+05
1914.86 7.883347e+05
1918.20 7.893444e+05
1921.54 7.904238e+05
1924.87 7.914344e+05
1928.21 7.925074e+05
1931.55 7.935772e+05
1934.89 7.945851e+05
1938.23 7.956482e+05
1941.57 7.966564e+05
1944.91 7.977711e+05
1948.25 7.987795e+05
1951.59 7.997772e+05
1954.92 8.008953e+05
1958.26 8.019442e+05
1961.60 8.030036e+05
1964.94 8.039866e+05
1968.28 8.051039e+05
1971.62 8.061376e+05
1974.96 8.071887e+05
1978.30 8.082287e+05
1981.64 8.092718e+05
1984.97 8.103621e+05
1988.31 8.113971e+05
1991.65 8.124278e+05
1994.99 8.135198e+05
1998.33 8.145421e+05
