#
# ABINIT package : DOS file  
#
# nsppol = 2, nkpt = 1734, nband(1)=  22
# Tetrahedron method
# For identification : eigen(1:3)=  -3.090  -3.088  -1.747
#
# Fermi energy :       0.43796871
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell) are computed,
# at  8801 energies (in Hartree) covering the interval 
# between   -3.1000 and    1.3000 Hartree by steps of  0.00050 Hartree.
#
#                Spin-up DOS
# energy(Ha)     DOS  integrated DOS
   -2.94950     0.0000     2.0000
   -2.94900     0.0000     2.0000
   -2.94850     0.0000     2.0000
   -2.94800     0.0000     2.0000
   -2.94750     0.0000     2.0000
   -2.94700     0.0000     2.0000
   -2.94650     0.0000     2.0000
   -2.94600     0.0000     2.0000
   -2.94550     0.0000     2.0000
   -2.94500     0.0000     2.0000
   -2.94450     0.0000     2.0000
   -2.94400     0.0000     2.0000
   -2.94350     0.0000     2.0000
   -2.94300     0.0000     2.0000
   -2.94250     0.0000     2.0000
   -2.94200     0.0000     2.0000
   -2.94150     0.0000     2.0000
   -2.94100     0.0000     2.0000
   -2.94050     0.0000     2.0000
   -2.94000     0.0000     2.0000
   -2.93950     0.0000     2.0000
   -2.93900     0.0000     2.0000
   -2.93850     0.0000     2.0000
   -2.93800     0.0000     2.0000
   -2.93750     0.0000     2.0000
   -2.93700     0.0000     2.0000
   -2.93650     0.0000     2.0000
   -2.93600     0.0000     2.0000
   -2.93550     0.0000     2.0000
   -2.93500     0.0000     2.0000
   -2.93450     0.0000     2.0000
   -2.93400     0.0000     2.0000
   -2.93350     0.0000     2.0000
   -2.93300     0.0000     2.0000
   -2.93250     0.0000     2.0000
   -2.93200     0.0000     2.0000
   -2.93150     0.0000     2.0000
   -2.93100     0.0000     2.0000
   -2.93050     0.0000     2.0000
   -2.93000     0.0000     2.0000
   -2.92950     0.0000     2.0000
   -2.92900     0.0000     2.0000
   -2.92850     0.0000     2.0000
   -2.92800     0.0000     2.0000
   -2.92750     0.0000     2.0000
   -2.92700     0.0000     2.0000
   -2.92650     0.0000     2.0000
   -2.92600     0.0000     2.0000
   -2.92550     0.0000     2.0000
   -2.92500     0.0000     2.0000
   -2.92450     0.0000     2.0000
   -2.92400     0.0000     2.0000
   -2.92350     0.0000     2.0000
   -2.92300     0.0000     2.0000
   -2.92250     0.0000     2.0000
   -2.92200     0.0000     2.0000
   -2.92150     0.0000     2.0000
   -2.92100     0.0000     2.0000
   -2.92050     0.0000     2.0000
   -2.92000     0.0000     2.0000
   -2.91950     0.0000     2.0000
   -2.91900     0.0000     2.0000
   -2.91850     0.0000     2.0000
   -2.91800     0.0000     2.0000
   -2.91750     0.0000     2.0000
   -2.91700     0.0000     2.0000
   -2.91650     0.0000     2.0000
   -2.91600     0.0000     2.0000
   -2.91550     0.0000     2.0000
   -2.91500     0.0000     2.0000
   -2.91450     0.0000     2.0000
   -2.91400     0.0000     2.0000
   -2.91350     0.0000     2.0000
   -2.91300     0.0000     2.0000
   -2.91250     0.0000     2.0000
   -2.91200     0.0000     2.0000
   -2.91150     0.0000     2.0000
   -2.91100     0.0000     2.0000
   -2.91050     0.0000     2.0000
   -2.91000     0.0000     2.0000
   -2.90950     0.0000     2.0000
   -2.90900     0.0000     2.0000
   -2.90850     0.0000     2.0000
   -2.90800     0.0000     2.0000
   -2.90750     0.0000     2.0000
   -2.90700     0.0000     2.0000
   -2.90650     0.0000     2.0000
   -2.90600     0.0000     2.0000
   -2.90550     0.0000     2.0000
   -2.90500     0.0000     2.0000
   -2.90450     0.0000     2.0000
   -2.90400     0.0000     2.0000
   -2.90350     0.0000     2.0000
   -2.90300     0.0000     2.0000
   -2.90250     0.0000     2.0000
   -2.90200     0.0000     2.0000
   -2.90150     0.0000     2.0000
   -2.90100     0.0000     2.0000
   -2.90050     0.0000     2.0000
   -2.90000     0.0000     2.0000
   -2.89950     0.0000     2.0000
   -2.89900     0.0000     2.0000
   -2.89850     0.0000     2.0000
   -2.89800     0.0000     2.0000
   -2.89750     0.0000     2.0000
   -2.89700     0.0000     2.0000
   -2.89650     0.0000     2.0000
   -2.89600     0.0000     2.0000
   -2.89550     0.0000     2.0000
   -2.89500     0.0000     2.0000
   -2.89450     0.0000     2.0000
   -2.89400     0.0000     2.0000
   -2.89350     0.0000     2.0000
   -2.89300     0.0000     2.0000
   -2.89250     0.0000     2.0000
   -2.89200     0.0000     2.0000
   -2.89150     0.0000     2.0000
   -2.89100     0.0000     2.0000
   -2.89050     0.0000     2.0000
   -2.89000     0.0000     2.0000
   -2.88950     0.0000     2.0000
   -2.88900     0.0000     2.0000
   -2.88850     0.0000     2.0000
   -2.88800     0.0000     2.0000
   -2.88750     0.0000     2.0000
   -2.88700     0.0000     2.0000
   -2.88650     0.0000     2.0000
   -2.88600     0.0000     2.0000
   -2.88550     0.0000     2.0000
   -2.88500     0.0000     2.0000
   -2.88450     0.0000     2.0000
   -2.88400     0.0000     2.0000
   -2.88350     0.0000     2.0000
   -2.88300     0.0000     2.0000
   -2.88250     0.0000     2.0000
   -2.88200     0.0000     2.0000
   -2.88150     0.0000     2.0000
   -2.88100     0.0000     2.0000
   -2.88050     0.0000     2.0000
   -2.88000     0.0000     2.0000
   -2.87950     0.0000     2.0000
   -2.87900     0.0000     2.0000
   -2.87850     0.0000     2.0000
   -2.87800     0.0000     2.0000
   -2.87750     0.0000     2.0000
   -2.87700     0.0000     2.0000
   -2.87650     0.0000     2.0000
   -2.87600     0.0000     2.0000
   -2.87550     0.0000     2.0000
   -2.87500     0.0000     2.0000
   -2.87450     0.0000     2.0000
   -2.87400     0.0000     2.0000
   -2.87350     0.0000     2.0000
   -2.87300     0.0000     2.0000
   -2.87250     0.0000     2.0000
   -2.87200     0.0000     2.0000
   -2.87150     0.0000     2.0000
   -2.87100     0.0000     2.0000
   -2.87050     0.0000     2.0000
   -2.87000     0.0000     2.0000
   -2.86950     0.0000     2.0000
   -2.86900     0.0000     2.0000
   -2.86850     0.0000     2.0000
   -2.86800     0.0000     2.0000
   -2.86750     0.0000     2.0000
   -2.86700     0.0000     2.0000
   -2.86650     0.0000     2.0000
   -2.86600     0.0000     2.0000
   -2.86550     0.0000     2.0000
   -2.86500     0.0000     2.0000
   -2.86450     0.0000     2.0000
   -2.86400     0.0000     2.0000
   -2.86350     0.0000     2.0000
   -2.86300     0.0000     2.0000
   -2.86250     0.0000     2.0000
   -2.86200     0.0000     2.0000
   -2.86150     0.0000     2.0000
   -2.86100     0.0000     2.0000
   -2.86050     0.0000     2.0000
   -2.86000     0.0000     2.0000
   -2.85950     0.0000     2.0000
   -2.85900     0.0000     2.0000
   -2.85850     0.0000     2.0000
   -2.85800     0.0000     2.0000
   -2.85750     0.0000     2.0000
   -2.85700     0.0000     2.0000
   -2.85650     0.0000     2.0000
   -2.85600     0.0000     2.0000
   -2.85550     0.0000     2.0000
   -2.85500     0.0000     2.0000
   -2.85450     0.0000     2.0000
   -2.85400     0.0000     2.0000
   -2.85350     0.0000     2.0000
   -2.85300     0.0000     2.0000
   -2.85250     0.0000     2.0000
   -2.85200     0.0000     2.0000
   -2.85150     0.0000     2.0000
   -2.85100     0.0000     2.0000
   -2.85050     0.0000     2.0000
   -2.85000     0.0000     2.0000
   -2.84950     0.0000     2.0000
   -2.84900     0.0000     2.0000
   -2.84850     0.0000     2.0000
   -2.84800     0.0000     2.0000
   -2.84750     0.0000     2.0000
   -2.84700     0.0000     2.0000
   -2.84650     0.0000     2.0000
   -2.84600     0.0000     2.0000
   -2.84550     0.0000     2.0000
   -2.84500     0.0000     2.0000
   -2.84450     0.0000     2.0000
   -2.84400     0.0000     2.0000
   -2.84350     0.0000     2.0000
   -2.84300     0.0000     2.0000
   -2.84250     0.0000     2.0000
